0.3 0.56 0.14 0.79 0.79 0.3 0.94 0.75 0.74 0.57
0.1 0.25 0.77 0.33 0.0 0.27 0.74 0.49 0.94 1.0
0.92 0.45 0.6 0.14 0.18 0.81 0.68 0.65 0.01 0.34
0.92 0.93 0.23 0.53 0.15 0.45 0.02 1.0 0.65 0.8
0.15 0.22 0.81 0.51 0.96 0.51 0.53 0.94 0.98 0.77
0.65 0.11 0.96 0.47 0.41 0.04 0.3 0.87 0.46 0.18
0.87 0.66 0.12 0.0 0.53 0.44 0.89 0.12 0.77 0.0
0.6 0.42 0.14 0.56 0.91 0.82 0.29 0.87 0.22 0.49
0.01 0.85 0.71 0.51 0.63 0.18 0.31 0.37 0.74 0.9
0.25 0.65 0.55 0.97 0.24 0.17 0.46 0.69 0.73 0.21
0.99 0.31 0.6 0.17 0.8 0.82 0.91 0.84 0.74 0.72
0.28 0.69 0.73 0.97 0.98 0.91 0.55 0.55 0.54 0.02
0.58 0.12 0.45 0.43 0.66 0.98 0.41 0.2 0.52 0.25
0.15 0.2 0.35 0.42 0.91 0.44 0.15 0.57 0.4 0.84
0.27 0.67 0.0 0.72 0.04 0.67 0.99 0.51 0.57 0.15
0.26 0.63 0.47 0.94 0.39 0.41 0.04 0.76 0.61 0.66
0.63 0.2 0.43 0.43 0.7 0.51 0.73 0.34 0.9 0.54
0.31 0.55 0.86 0.88 0.85 0.07 0.2 0.6 0.77 0.8
0.26 0.4 0.14 0.54 0.44 0.84 0.73 0.94 0.89 0.13
0.85 1.0 0.53 0.71 0.62 0.14 0.82 0.9 0.91 0.73
0.43 0.5 0.39 0.28 0.81 0.49 0.71 0.67 0.36 0.46
0.91 0.83 0.77 0.18 0.2 0.97 0.02 0.46 0.01 0.12
0.2 0.3 0.53 0.75 0.46 0.13 0.67 0.74 0.27 0.73
0.9 0.56 0.02 0.51 0.99 0.26 0.2 0.44 0.42 0.31
0.36 0.37 0.87 0.53 0.93 0.58 0.89 0.49 0.6 0.9
0.61 0.22 0.35 0.66 0.11 0.06 0.11 0.45 0.95 0.38
0.71 0.83 0.02 0.43 0.33 0.38 0.04 0.25 0.7 0.42
0.56 0.19 0.75 0.32 0.55 0.44 0.55 0.03 0.47 0.67
0.05 0.35 0.83 0.43 0.05 0.99 0.07 0.45 0.76 0.88
0.85 0.71 0.26 1.0 0.85 0.42 0.14 0.38 0.29 0.36
0.56 0.11 0.5 0.9 0.15 1.0 0.09 0.61 0.03 0.51
